Tên bài hát,Ngh? s? trình bày,S? l??ng ngh? s? ?óng góp, N?m phát hành," S? l??ng danh sách phát 
Spotify mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Spotify","S? l??t nghe tr?c
 tuy?n trên Spotify"," S? l??ng danh sách phát
 Apple Music mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Apple Music",,,,
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,320,6,116334601,5,48,,,,
Midnight Rain,Taylor Swift,1,2022,2612,4,433356509,19,29,,,,
If We Ever Broke Up,Mae Stephens,1,2023,2040,4,165584767,81,27,,,,
You Proof,Morgan Wallen,1,2022,2128,9,367814306,37,88,,,,
LA INOCENTE,"Feid, Mora",2,2022,2598,37,477033549,28,57,,,,
Malas Decisiones,Kenia OS,1,2022,542,2,156214700,23,2,,,,
Murder In My Mind,Kordhell,1,2022,2459,20,448843705,20,68,,,,
Gangsta's Paradise,"Coolio, L.V.",2,1995,10624,17,1357608774,21,0,,,,
CAIRO,"Karol G, Ovy On The Drums",2,2022,2418,26,294352144,52,66,,,,
I Love You So,The Walters,1,2014,7536,7,972164968,44,19,,,,
Dark Red,Steve Lacy,1,2017,10431,7,920045682,71,53,,,,
Say You Won't Let Go,James Arthur,1,2016,15722,16,2420461338,231,37,,,,
The Hills,The Weeknd,1,2015,25744,4,1947371785,122,94,,,,
Heart To Heart,Mac DeMarco,1,2019,1640,0,244658767,27,27,,,,
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,34,0,68216992,0,0,,,,
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,1845,16,223582566,20,8,,,,
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,3301,30,471819764,72,64,,,,
Low,SZA,1,2022,1911,0,272377463,23,71,,,,
Numb,Linkin Park,1,2003,20111,5,1361425037,39,0,,,,
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,1529,0,149778242,32,18,,,,
on the street (with J. Cole),"j-hope, J. Cole",2,2023,615,2,116599790,22,82,,,,
One Thing At A Time,Morgan Wallen,1,2022,811,4,148469433,11,58,,,,
Miss You,"Robin Schulz, Oliver Tree",2,2022,5730,10,497225336,108,16,,,,
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,356,4,88791109,4,20,,,,
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,604,6,125917280,22,101,,,,
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,1190,0,105062254,29,3,,,,
Everything I Love,Morgan Wallen,1,2023,579,0,95623148,11,54,,,,
Heaven,Niall Horan,1,2023,1553,2,144584800,61,6,,,,
LET GO,Central Cee,1,2022,2301,20,298063749,49,23,,,,
Sial,Mahalini,1,2023,134,4,166570053,4,6,,,,
I Wrote The Book,Morgan Wallen,1,2023,430,0,83021468,15,17,,,,
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,86,0,139836056,11,101,,,,
SPIT IN MY FACE!,ThxSoMch,1,2022,629,14,303216294,32,3,,,,
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,1701,15,221409663,30,15,,,,
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,329,0,58890931,14,35,,,,
Red Ruby Da Sleeze,Nicki Minaj,1,2023,1168,0,81419389,45,11,,,,
Kahani Suno 2.0,Kaifi Khalil,1,2022,162,6,156777415,1,10,,,,
Nobody Gets Me,SZA,1,2022,2536,6,284908316,59,100,,,,
PERO Tï¿,"Karol G, Quevedo",2,2023,387,11,93438910,11,15,,,,
Hype Boy,NewJeans,1,2022,892,17,363472647,20,119,,,,
Bloody Mary,Lady Gaga,1,2011,3909,0,372476382,66,26,,,,
Monotonï¿½,"Ozuna, Shakira",2,2022,3645,15,380726517,118,34,,,,
ýýý98 Braves,Morgan Wallen,1,2023,282,0,56533272,6,15,,,,
WANDA,Quevedo,1,2023,888,22,175399345,11,24,,,,
Thought You Should Know,Morgan Wallen,1,2022,968,4,203221468,16,53,,,,
In The End,Linkin Park,1,2000,25065,6,1624165576,63,0,,,,
Zona De Perigo,Leo Santana,1,2022,531,4,134294498,20,1,,,,
Lovezinho,Treyce,1,2022,242,0,70069745,12,2,,,,
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,5281,14,609293408,94,21,,,,
Neverita,Bad Bunny,1,2022,2590,30,671365962,20,64,,,,
Vista Al Mar,Quevedo,1,2022,1769,34,362361576,16,19,,,,
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,454,4,93587665,6,1,,,,
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,6180,7,1223481149,122,88,,,,
Revenge,XXXTENTACION,1,2017,3600,11,1022258230,7,0,,,,
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,1254,6,263453310,26,69,,,,
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6398,31,1435127549,177,109,,,,
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,660,15,236857112,19,59,,,,
Love Again,The Kid Laroi,1,2023,1283,0,147538971,57,4,,,,
After Hours,The Weeknd,1,2020,8084,6,698086140,45,115,,,,
About Damn Time,Lizzo,1,2022,2332,2,723894473,0,0,,,,
Born With A Beer In My Hand,Morgan Wallen,1,2023,203,0,34450974,5,9,,,,
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,685,14,403097450,24,94,,,,
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,2460,13,309483971,53,7,,,,
Maan Meri Jaan,King,1,2022,288,6,319566866,11,80,,,,
Moscow Mule,Bad Bunny,1,2022,4572,33,909001996,74,113,,,,
My Universe,"Coldplay, BTS",2,2021,6127,13,1061966512,0,0,,,,
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,166,0,32526947,2,10,,,,
LLYLM,ROSALï¿½,1,2023,1838,0,124988687,105,41,,,,
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1890,0,103787664,86,1,,,,
TRUSTFALL,P!nk,1,2023,2098,16,134255790,88,24,,,,
ANTIFRAGILE,LE SSERAFIM,1,2022,761,12,301051721,23,95,,,,
Boy's a liar,PinkPantheress,1,2022,1225,0,156338624,27,0,,,,
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,415,2,152850295,15,40,,,,
Shirt,SZA,1,2022,3469,0,309653982,71,95,,,,
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,3311,0,297328960,129,31,,,,
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,2616,0,332506354,113,17,,,,
"Sex, Drugs, Etc.",Beach Weather,1,2016,3006,16,480507035,47,60,,,,
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4260,0,1065580332,113,92,,,,
"Hey, Mickey!",Baby Tate,1,2016,482,0,122763672,9,1,,,,
Calm Down,Rï¿½ï,1,2022,4013,10,445763624,107,44,,,,
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,138,4,1365184,13,78,,,,
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,1368,0,184308753,12,1,,,,
Space Song,Beach House,1,2015,17852,4,789753877,69,76,,,,
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,889,20,323358833,11,78,,,,
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4796,9,606361689,124,66,,,,
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,658,6,120972253,33,7,,,,
TV,Billie Eilish,1,2022,3009,2,338564981,68,89,,,,
I'm Not The Only One,Sam Smith,1,2014,17492,3,1606986953,136,24,,,,
Heather,Conan Gray,1,2020,6170,7,1301799902,82,1,,,,
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,130,4,140187018,21,79,,,,
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,27705,10,1897517891,537,122,,,,
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,359,0,107642809,12,56,,,,
Pink Venom,BLACKPINK,1,2022,1963,16,551305895,57,119,,,,
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,5491,14,556585270,128,84,,,,
Don't Start Now,Dua Lipa,1,2019,27119,0,2303033973,532,77,,,,
After Dark,Mr.Kitty,1,2014,1776,14,646886885,1,9,,,,
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,1473,4,222612678,27,64,,,,
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,13315,0,1814349763,300,47,,,,
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,4057,8,872137015,78,21,,,,
Atlantis,Seafret,1,2015,3045,6,571386359,43,53,,,,
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,3006,12,304079786,54,32,,,,
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,852,0,174006928,14,1,,,,
How Do I Say Goodbye,Dean Lewis,1,2022,2163,15,284785823,72,97,,,,
Blind,SZA,1,2022,1484,0,163284000,22,51,,,,
Die For You,Joji,1,2022,1703,0,246390068,38,45,,,,
Doja,Central Cee,1,2022,4169,44,482257456,57,44,,,,
Gatita,Bellakath,1,2022,1054,0,168684524,9,0,,,,
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,2849,0,78489819,39,45,,,,
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,1602,0,195516622,12,22,,,,
Yonaguni,Bad Bunny,1,2021,9644,28,1260594497,120,86,,,,
Super Freaky Girl,Nicki Minaj,1,2022,4827,0,428685680,104,17,,,,
Running Up That Hill (A Deal With God),Kate Bush,1,1985,21811,0,1024858327,117,1,,,,
Dream On,Aerosmith,1,1973,168,0,838586769,0,0,,,,
Limbo,Freddie Dredd,1,2022,688,0,199386237,14,1,,,,
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,10565,44,972509632,238,122,,,,
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,1612,0,213438580,34,54,,,,
Bad Habits,Ed Sheeran,1,2020,12755,8,1555511105,344,97,,,,
KICK BACK,Kenshi Yonezu,1,2022,574,4,210038833,38,101,,,,
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,2499,0,227918678,70,0,,,,
Good Days,SZA,1,2020,10426,2,826623384,133,109,,,,
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,15894,8,1802514301,198,13,,,,
Woman,Doja Cat,1,2021,9424,0,1329090101,202,50,,,,
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,713,7,181831132,2,4,,,,
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,7758,28,462791599,173,79,,,,
"You're On Your Own, Kid",Taylor Swift,1,2022,2537,2,348647203,8,18,,,,
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,292,6,366599607,26,98,,,,
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",3,1930,323,0,90598517,4,0,,,,
Payphone,"Maroon 5, Wiz Khalifa",2,2012,14143,4,1479264469,56,38,,,,
All I Want for Christmas Is You,Mariah Carey,1,1994,25653,0,1449779435,387,132,,,,
Last Christmas,Wham!,1,1984,22153,0,1159176109,274,111,,,,
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,14994,0,769213520,191,168,,,,
Jingle Bell Rock,Bobby Helms,1,1957,10326,0,741301563,165,99,,,,
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,12353,0,807561936,35,0,,,,
Santa Tell Me,Ariana Grande,1,2013,9408,0,834129063,231,106,,,,
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,8879,0,663832097,182,107,,,,
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,6512,0,446390129,88,1,,,,
Snowman,Sia,1,2017,5140,0,690104769,85,110,,,,
Underneath the Tree,Kelly Clarkson,1,2013,6596,0,485285717,144,99,,,,
Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,3788,0,520034544,21,3,,,,
Holly Jolly Christmas,Michael Bublï¿,1,2011,7655,0,476244795,5,0,,,,
Mistletoe,Justin Bieber,1,2011,9577,0,629173063,195,111,,,,
Sleigh Ride,The Ronettes,1,1963,10114,0,404664135,114,74,,,,
Seek & Destroy,SZA,1,2022,1007,0,98709329,5,31,,,,
Love Language,SZA,1,2022,1127,0,110849052,16,63,,,,
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,10829,0,460492795,130,1,,,,
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,1042,0,94005786,7,29,,,,
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,7930,0,395591396,108,120,,,,
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11500,0,389771964,140,72,,,,
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,1685,0,403939487,1,0,,,,
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,14169,0,481697415,209,30,,,,
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,1634,0,110073250,16,20,,,,
Special,SZA,1,2022,906,0,88092256,6,21,,,,
Merry Christmas Everyone,Shakin' Stevens,1,1984,1087,0,351636786,90,35,,,,
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,10585,0,473248298,126,108,,,,
SOS,SZA,1,2022,827,0,73981293,6,18,,,,
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,1420,4,155653938,13,87,,,,
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,11940,0,395591396,73,79,,,,
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,888,0,429504768,50,0,,,,
Christmas (Baby Please Come Home),Darlene Love,1,1963,9122,0,242767149,121,58,,,,
Gone Girl,SZA,1,2022,892,0,65362788,3,17,,,,
F2F,SZA,1,2022,989,0,67540165,5,9,,,,
Notice Me,SZA,1,2022,819,0,62019074,14,22,,,,
Merry Christmas,"Ed Sheeran, Elton John",2,2017,2209,0,135723538,72,90,,,,
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,6290,0,295998468,89,39,,,,
My Only Wish (This Year),Britney Spears,1,2000,6952,0,261116938,115,53,,,,
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,313,2,136689549,10,6,,,,
Wild Flower (with youjeen),RM,1,2022,353,2,135611421,2,74,,,,
I Hate U,SZA,1,2021,4094,0,356709897,66,96,,,,
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,880,0,110649992,3,7,,,,
SPIT IN MY FACE!,ThxSoMch,1,2022,573,0,301869854,1,0,,,,
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,3299,0,127027715,65,39,,,,
Smoking on my Ex Pack,SZA,1,2022,811,0,57144458,6,11,,,,
Conceited,SZA,1,2022,899,0,56870689,2,14,,,,
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,2415,0,323437194,33,57,,,,
Maroon,Taylor Swift,1,2022,2304,0,317726339,12,16,,,,
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,1003,0,116144341,21,0,,,,
Bejeweled,Taylor Swift,1,2022,2699,0,328207708,39,35,,,,
Tarot,"Bad Bunny, Jhay Cortez",2,2022,2482,20,608228647,27,77,,,,
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,2577,0,180577478,108,56,,,,
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6821,34,809306935,83,58,,,,
Too Late,SZA,1,2022,714,0,49262961,0,9,,,,
Party,"Bad Bunny, Rauw Alejandro",2,2022,3185,4,614555082,38,64,,,,
Run Rudolph Run - Single Version,Chuck Berry,1,1958,8612,0,245350949,120,30,,,,
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,4326,0,178660459,32,3,,,,
Far,SZA,1,2022,680,0,51641685,2,15,,,,
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,398,0,78139948,2,2,,,,
GATï¿½ï¿½,"Maldy, Karol G",2,2022,3328,13,322336177,39,50,,,,
ýýýabcdefu,Gayle,1,2021,7215,0,1007612429,170,12,,,,
Sacrifice,The Weeknd,1,2022,4440,0,326792833,81,77,,,,
Is There Someone Else?,The Weeknd,1,2022,2881,6,391251368,13,89,,,,
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,2235,0,349585590,65,7,,,,
Out of Time,The Weeknd,1,2022,3711,0,339659802,49,88,,,,
Do It To It,"Cherish, ACRAZE",2,2021,12403,0,674772936,183,63,,,,
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,2785,0,432719968,95,89,,,,
Pepas,Farruko,1,2021,14114,17,1309887447,252,109,,,,
How Do I Make You Love Me?,The Weeknd,1,2022,1915,0,119238316,7,47,,,,
Gasoline,The Weeknd,1,2022,2297,0,116903579,11,29,,,,
Infinity,Jaymes Young,1,2017,4375,0,888046992,24,0,,,,
Less Than Zero,The Weeknd,1,2022,2800,0,200660871,18,77,,,,
Take My Breath,The Weeknd,1,2021,2597,0,130655803,17,80,,,,
good 4 u,Olivia Rodrigo,1,2021,15563,6,1887039593,259,55,,,,
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1420,0,88103848,7,18,,,,
Best Friends,The Weeknd,1,2022,1292,0,101114984,3,18,,,,
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,15867,0,1575467011,382,65,,,,
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1178,0,91656026,9,10,,,,
Need To Know,Doja Cat,1,2021,6672,0,1042568408,125,36,,,,
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,12329,0,1735441776,275,19,,,,
love nwantiti (ah ah ah),Ckay,1,2019,5669,2,726837877,74,0,,,,
Dawn FM,The Weeknd,1,2022,811,0,53933526,1,8,,,,
Surface Pressure,Jessica Darrow,1,2021,1756,0,267758538,38,48,,,,
Starry Eyes,The Weeknd,1,2022,1014,0,74601456,1,17,,,,
THATS WHAT I WANT,Lil Nas X,1,2021,7963,0,920797189,173,7,,,,
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,4771,0,539595276,68,18,,,,
Beggin,Mï¿½ï¿½ne,1,2017,8559,0,1367810478,183,64,,,,
Mon Amour - Remix,"Aitana, zzoilo",2,2020,3221,2,578207856,67,13,,,,
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,3423,26,775542072,61,65,,,,
MONEY,Lisa,1,2021,2566,13,863625566,44,109,,,,
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,9151,6,656013912,240,107,,,,
Happier Than Ever,Billie Eilish,1,2021,8476,0,1056760045,138,133,,,,
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,7495,17,611994237,114,172,,,,
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5257,6,1230855859,85,43,,,,
Toxic,BoyWithUke,1,2021,1795,0,582981380,34,23,,,,
drivers license,Olivia Rodrigo,1,2021,12685,3,1858144199,185,61,,,,
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,648,1,240684449,14,3,,,,
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,4635,5,583687007,50,49,,,,
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1184,0,63803529,1,5,,,,
Oh My God,Adele,1,2021,4431,0,466214729,105,7,,,,
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,759,3,236940480,32,0,,,,
A Tale By Quincy,The Weeknd,1,2022,733,0,41924466,0,2,,,,
I AM WOMAN,Emmy Meli,1,2021,2795,0,225259194,45,0,,,,
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,2780,2,393230256,54,21,,,,
It'll Be Okay,Shawn Mendes,1,2021,1950,0,287201015,56,8,,,,
Softcore,The Neighbourhood,1,2018,3947,12,599770206,33,102,,,,
Super Gremlin,Kodak Black,1,2021,2551,0,342779426,52,15,,,,
Volvï¿,"Aventura, Bad Bunny",2,2021,5375,10,673801126,138,24,,,,
Todo De Ti,Rauw Alejandro,1,2020,11975,8,1168642797,188,75,,,,
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,2696,0,540539717,42,2,,,,
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,4963,0,383550148,63,40,,,,
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,6734,0,530511203,47,14,,,,
Every Angel is Terrifying,The Weeknd,1,2022,715,0,37307967,0,1,,,,
Tacones Rojos,Sebastian Yatra,1,2021,3047,9,510876816,77,31,,,,
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,14140,0,1445941661,231,52,,,,
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,11215,21,1763363713,189,166,,,,
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,1678,12,374191487,20,4,,,,
Lï¿½ï¿½ï¿,Stromae,1,2022,2035,0,108809090,41,122,,,,
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,2780,2,436695353,86,76,,,,
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,4091,0,421040617,105,2,,,,
Life Goes On,Oliver Tree,1,2020,2868,0,501541661,43,15,,,,
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,3643,0,354065229,69,3,,,,
Butter,BTS,1,2021,4779,6,1143647827,180,135,,,,
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,3517,0,311395144,54,28,,,,
You Right,"Doja Cat, The Weeknd",2,2021,5073,0,672656250,83,9,,,,
deja vu,Olivia Rodrigo,1,2021,7545,4,1256880657,117,39,,,,
Dynamite,BTS,1,2020,8528,5,1692897992,239,163,,,,
TO THE MOON,Jnr Choi,1,2021,2979,0,245095641,44,0,,,,
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,7731,2,686734357,110,145,,,,
Salimo de Noche,"Trueno, Tiago pzk",2,2021,1057,0,261414174,17,5,,,,
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,3272,19,610045621,101,34,,,,
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,14417,0,1115880852,237,123,,,,
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,5199,0,594482982,45,43,,,,
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,6026,0,566954746,171,51,,,,
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,0,,,,
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,4640,3,374706940,81,93,,,,
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,1150,0,184937148,20,38,,,,
Phantom Regret by Jim,The Weeknd,1,2022,768,0,31959571,1,1,,,,
Dos Oruguitas,Sebastian Yatra,1,2021,925,0,167076418,24,47,,,,
Freaks,Surf Curse,1,2015,3006,3,824420218,23,21,,,,
Acapulco,Jason Derulo,1,2021,3098,0,363467642,111,5,,,,
Daddy Issues,The Neighbourhood,1,2015,9771,4,1127468248,42,70,,,,
thought i was playing,"21 Savage, Gunna",2,2022,807,0,60680939,3,0,,,,
ELEVEN,IVE,1,2021,521,1,247737946,17,89,,,,
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,12854,0,1699402402,237,27,,,,
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,802,0,154797871,13,27,,,,
DANCE CRIP,Trueno,1,2021,731,0,198883004,14,14,,,,
Miserable Man,David Kushner,1,2022,788,0,124407432,13,0,,,,
happier,Olivia Rodrigo,1,2021,3069,4,850608354,25,46,,,,
Praise God,Kanye West,1,2021,4651,0,376333030,24,6,,,,
Get Into It (Yuh),Doja Cat,1,2021,4999,0,516784627,43,19,,,,
Before You Go,Lewis Capaldi,1,2019,8327,24,1608045237,205,130,,,,
Sky,Playboi Carti,1,2020,3297,3,506778838,25,3,,,,
Rolling in the Deep,Adele,1,2010,35684,6,1472799873,195,125,,,,
Sobrio,Maluma,1,2021,3506,10,513643924,103,76,,,,
Peru,"Ed Sheeran, Fireboy DML",2,2021,2999,0,261286503,60,17,,,,
favorite crime,Olivia Rodrigo,1,2021,3681,0,783706581,20,21,,,,
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,4846,10,422691058,54,16,,,,
The Business,Tiï¿½ï¿,1,2020,14311,0,1062345656,255,32,,,,
positions,Ariana Grande,1,2020,8207,0,1252563873,175,55,,,,
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,4873,0,851070493,65,88,,,,
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,772,0,263894529,7,3,,,,
The Feels,TWICE,1,2021,1150,0,345903614,20,99,,,,
HEARTBREAK ANNIVERSARY,Giveon,1,2020,5398,4,951637566,111,127,,,,
No Lie,"Sean Paul, Dua Lipa",2,2016,7370,0,956865266,92,127,,,,
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,6890,0,427486004,122,11,,,,
Pope Is a Rockstar,SALES,1,2016,1966,0,156658366,4,2,,,,
2055,Sleepy hallow,1,2021,2226,0,624515457,29,0,,,,
Bored,Billie Eilish,1,2017,4204,0,777765388,39,45,,,,
Happier Than Ever - Edit,Billie Eilish,1,2021,1959,0,412795151,19,0,,,,
Astronaut In The Ocean,Masked Wolf,1,2019,7191,0,1138474110,146,18,,,,
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,2012,0,355219175,101,12,,,,
Every Summertime,NIKI,1,2021,1211,2,290228626,30,2,,,,
Talking To The Moon,Bruno Mars,1,2010,7109,2,1062956628,5,0,,,,
you broke me first,Tate McRae,1,2020,6638,0,1180094974,167,19,,,,
The Nights,Avicii,1,2014,17354,8,1456081449,92,122,,,,
Take My Breath,The Weeknd,1,2021,6392,0,432702334,174,73,,,,
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,5481,0,489945871,144,30,,,,
