Tên bài hát,Ngh? s? trình bày,S? l??ng ngh? s? ?óng góp, N?m phát hành," S? l??ng danh sách phát 
Spotify mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Spotify","S? l??t nghe tr?c
 tuy?n trên Spotify"," S? l??ng danh sách phát
 Apple Music mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Apple Music",,,,
Viva La Vida,Coldplay,1,2008,33898,62,1592909789,233,0,,,,
Here With Me,d4vd,1,2022,3246,23,635412045,94,85,,,,
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,8576,42,1230675890,216,108,,,,
Yandel 150,"Yandel, Feid",2,2022,3618,38,585695368,47,74,,,,
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,370,20,43857627,12,16,,,,
Riptide,Vance Joy,1,1975,31123,55,2009094673,300,65,,,,
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,2790,30,600976848,60,96,,,,
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,267,9,39709092,9,6,,,,
Back To December (Taylor's Version),Taylor Swift,1,2023,139,17,39228929,16,72,,,,
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,17050,36,2665343922,492,99,,,,
El Merengue,"Marshmello, Manuel Turizo",2,2023,2114,44,223633238,80,75,,,,
Someone You Loved,Lewis Capaldi,1,2018,17836,53,2887241814,440,125,,,,
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,8870,43,1440757818,104,120,,,,
Makeba,Jain,1,2015,6060,53,165484133,150,148,,,,
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,641,50,58054811,1,52,,,,
Fast Car,Luke Combs,1,2023,1446,12,157058870,57,97,,,,
What It Is (Solo Version),Doechii,1,2023,804,25,95131998,29,76,,,,
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,1962,38,250305248,28,89,,,,
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,4875,23,685032533,19,45,,,,
Still With You,Jung Kook,1,2020,31,39,38411956,2,107,,,,
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,2175,23,144565150,69,145,,,,
Say Yes To Heaven,Lana Del Rey,1,2023,2000,46,127567540,49,105,,,,
Snooze,SZA,1,2022,2839,25,399686758,58,156,,,,
Summertime Sadness,Lana Del Rey,1,2011,20333,52,983637508,89,143,,,,
Take Two,BTS,1,2023,674,47,118482347,20,106,,,,
Lover,Taylor Swift,1,2012,8448,23,882831184,160,110,,,,
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,2110,58,286400165,17,119,,,,
Chemical,Post Malone,1,2023,2528,39,172825906,56,91,,,,
Mockingbird,Eminem,1,2004,12985,61,1241559043,49,98,,,,
New Jeans,NewJeans,1,2023,77,35,29562220,8,166,,,,
Primera Cita,Carin Leon,1,2022,266,27,77309611,6,40,,,,
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,21097,52,1605224506,384,135,,,,
Dandelions,Ruth B.,1,2017,3423,21,1116995633,41,100,,,,
Bones,Imagine Dragons,1,2021,4198,44,838079900,98,108,,,,
Set Fire to the Rain,Adele,1,2011,14739,43,1163620694,88,112,,,,
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,26792,32,1093605526,69,113,,,,
Tak Segampang Itu,Anggi Marito,1,2022,213,6,179659294,7,6,,,,
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,58,18,39058561,2,106,,,,
Mine (Taylor's Version),Taylor Swift,1,2023,99,15,36912123,21,52,,,,
Everybody Wants To Rule The World,Tears For Fears,1,1985,41751,25,1205951614,101,32,,,,
No Role Modelz,J. Cole,1,2014,21164,36,1791000570,80,65,,,,
Tattoo,Loreen,1,2023,2988,59,201660859,74,102,,,,
Rara Vez,"Taiu, Milo j",2,2023,893,38,248088961,19,23,,,,
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,1094,34,90839753,40,58,,,,
august,Taylor Swift,1,2020,7324,22,607123776,25,81,,,,
LUNA,"Junior H, Peso Pluma",2,2023,201,11,55842345,19,117,,,,
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,5120,48,211050784,161,115,,,,
Nonsense,Sabrina Carpenter,1,2022,2346,27,342897938,69,12,,,,
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,763,26,2762,21,110,,,,
Por las Noches,Peso Pluma,1,2021,457,24,330346424,8,116,,,,
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,3430,38,601863821,45,69,,,,
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,6074,52,1953533826,201,44,,,,
Watermelon Sugar,Harry Styles,1,2019,21915,34,2322580122,437,115,,,,
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,15032,30,2355719893,221,96,,,,
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,871,32,66902503,25,59,,,,
Queencard,(G)I-DLE,1,2023,451,33,96273746,10,126,,,,
OMG,NewJeans,1,2023,1783,27,430977451,26,124,,,,
Radio,Lana Del Rey,1,2011,9389,46,284819874,24,122,,,,
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,5724,44,721975598,119,108,,,,
505,Arctic Monkeys,1,2007,13985,25,1217120710,30,80,,,,
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,1051,16,109276132,31,37,,,,
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,1682,46,276259178,24,90,,,,
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,182,8,54225632,3,88,,,,
Perfect,Ed Sheeran,1,2017,16596,13,2559529074,7,0,,,,
Romantic Homicide,d4vd,1,2022,2335,23,681583126,82,55,,,,
Believer,Imagine Dragons,1,2017,18986,23,2594040133,250,121,,,,
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,283,7,81102253,6,9,,,,
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,293,8,11956641,5,2,,,,
Without Me,Eminem,1,2002,21081,43,1687664027,98,76,,,,
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,437,31,11599388,17,29,,,,
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,1275,32,611700552,13,8,,,,
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,6135,38,1133865788,71,113,,,,
Somewhere Only We Know,Keane,1,2004,20015,16,1089402494,107,69,,,,
Those Eyes,New West,1,2019,1507,14,411747614,24,71,,,,
El Gordo Trae El Mando,Chino Pacas,1,2023,539,21,255932395,7,71,,,,
Mi Bello Angel,Natanael Cano,1,2023,86,8,31873544,7,76,,,,
Bye,Peso Pluma,1,2023,324,14,95053634,13,110,,,,
Danza Kuduro,"Don Omar, Lucenzo",2,2010,17138,37,1279434863,119,81,,,,
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,894,9,233801632,14,88,,,,
Locked Out Of Heaven,Bruno Mars,1,2012,1622,9,1481349984,0,0,,,,
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,561,14,142095275,4,14,,,,
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,5871,27,618885532,81,121,,,,
Counting Stars,OneRepublic,1,2013,29215,43,2011464183,179,97,,,,
Ghost,Justin Bieber,1,2021,5866,24,1167330737,107,38,,,,
Under The Influence,Chris Brown,1,2019,3859,26,929964809,133,181,,,,
PRC,"Natanael Cano, Peso Pluma",2,2023,961,26,436027885,19,143,,,,
Gasolina,Daddy Yankee,1,2004,6457,18,657723613,98,95,,,,
One Dance,"Drake, WizKid, Kyla",3,2016,43257,24,2713922350,433,107,,,,
Enchanted,Taylor Swift,1,2010,4564,16,621660989,24,101,,,,
Save Your Tears,The Weeknd,1,2020,12688,13,1591223784,197,115,,,,
Sure Thing,Miguel,1,2010,13801,19,950906471,137,125,,,,
Every Breath You Take - Remastered 2003,The Police,1,1983,22439,19,1593270737,211,74,,,,
The Night We Met,Lord Huron,1,2015,18515,35,1410088830,70,82,,,,
We Found Love,"Rihanna, Calvin Harris",2,2011,36843,21,1235005533,321,91,,,,
When I Was Your Man,Bruno Mars,1,2012,2420,11,1661187319,0,0,,,,
Let Me Down Slowly,Alec Benjamin,1,2018,5897,19,1374581173,0,0,,,,
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,727,16,94186466,17,60,,,,
Do I Wanna Know?,Arctic Monkeys,1,2013,33783,26,1788326445,133,92,,,,
Demons,Imagine Dragons,1,2012,26694,13,1840364617,65,82,,,,
Reminder,The Weeknd,1,2016,6518,17,684675814,45,85,,,,
Shake It Off,Taylor Swift,1,2014,21335,13,1113838873,328,70,,,,
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,23389,29,1267333350,54,70,,,,
SNAP,Rosa Linn,1,2022,3202,18,726307468,148,80,,,,
Shape of You,Ed Sheeran,1,2017,32181,10,3562543890,33,0,,,,
Night Changes,One Direction,1,2014,7124,18,1131090940,60,20,,,,
Fin de Semana,"Oscar Maydon, Junior H",2,2023,592,14,307370144,11,84,,,,
Creep,Radiohead,1,1992,36724,7,1271293243,146,72,,,,
Car's Outside,James Arthur,1,2019,794,10,265882712,38,25,,,,
Apocalypse,Cigarettes After Sex,1,2017,13091,17,841749534,61,96,,,,
Cheques,Shubh,1,2023,67,8,47956378,7,10,,,,
Pink + White,Frank Ocean,1,2016,21574,30,806397070,112,68,,,,
Circles,Post Malone,1,2019,19664,16,2132335812,391,73,,,,
Just The Way You Are,Bruno Mars,1,2010,21106,13,1641426668,82,0,,,,
Take Me To Church,Hozier,1,2013,23804,31,2135158446,187,99,,,,
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,849,22,367316268,27,129,,,,
Titi Me Preguntï¿,Bad Bunny,1,2022,9037,42,1264310836,124,133,,,,
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,86,11,30343206,3,33,,,,
Shut up My Moms Calling,Hotel Ugly,1,2020,1788,14,405136812,1,50,,,,
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,15890,14,1145727611,71,37,,,,
Es un Secreto,Plan B,1,2010,492,36,540654286,4,3,,,,
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,773,33,57312735,20,46,,,,
Ditto,NewJeans,1,2022,1154,22,397582059,28,125,,,,
Take On Me,a-ha,1,1984,44927,17,1479115056,34,0,,,,
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,551,4,86773632,13,46,,,,
